a barber; hairdressing	理发 lǐ fà 
cause; origin; root cause; reason; CL:个	原因 yuán yīn 
cautious and conscientious	兢兢业业 jīng jīng yè yè 
cautious and solemn (idiom); very carefully; prudent; gently and cautiously	小心翼翼 xiǎo xīn yì yì 
cautious; careful; prudent	慎重 shèn zhòng 
cautious; prudent	谨慎 jǐn shèn 
cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:个	洞 dòng 
cavity; empty; vacuous	空洞 kōng dòng 
celebration; ceremony	典礼 diǎn lǐ 
cell (biology)	细胞 xì bāo 
cell phone; cellular phone; mobile phone; CL:部[bu4]	手机 shǒu jī 
cement; CL:袋[dai4]	水泥 shuǐ ní 
center; heart (fig.); core; CL:个	中心 zhōng xīn 
center of gravity; central core; main part	重心 zhòng xīn 
centimeter	厘米 lí mǐ 
central; middle; center; central authorities (of a state)	中央 zhōng yāng 
century; CL:个	世纪 shì jì 
ceremony	仪式 yí shì 
certificate; credentials	证件 zhèng jiàn 
cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals	颈椎 jǐng zhuī 
chain	连锁 lián suǒ 
chair; CL:把[ba3] ,套[tao4]	椅子 yǐ zi 
chairman; director-general (of a company etc); CEO	总裁 zǒng cái 
chairman of the board; chairman	董事长 dǒng shì zhǎng 
chairperson; premier; chairman; CL:个,位[wei4]	主席 zhǔ xí 
challenge	挑战 tiǎo zhàn 
champion; CL:个	冠军 guàn jūn 
change; exchange	换 huàn 
change (of money); small change; pocket money	零钱 líng qián 
changes; vicissitudes	变迁 biàn qiān 
change; variation; to change; to vary; CL:个	变化 biàn huà 
Changjiang river; Yangtze river	长江 cháng jiāng 
characteristic; distinguishing feature or quality	特色 tè sè 
characteristic (feature); trait; feature; CL:个	特点 tè diǎn 
charm; fascination; glamor; charisma	魅力 mèi lì 
chaste; virtuous	贤惠 xián huì 
chauffeur; driver; CL:个	司机 sī jī 
cheap and fine; attractive in price and quality	物美价廉 wù měi jià lián 
cheap; inexpensive; small advantages; to let sb off lightly	便宜 pián yi 
check (bank); cheque; CL:本[ben3]	支票 zhī piào 
cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted	愉快 yú kuài 
chemistry; chemical	化学 huà xué 
chest; bosom; heart; mind; thorax	胸 xiōng 
chest	胸膛 xiōng táng 
(chicken) egg; hen's egg; CL:个,打[da2]	鸡蛋 jī dàn 
child; CL:个	儿童 ér tóng 
children's fairy tales	童话 tóng huà 
child	孩子 hái zi 
China; Middle Kingdom	中国 zhōng guó 
Chinese chess; CL:副[fu4]	象棋 xiàng qí 
Chinese language	汉语 hàn yǔ 
Chinese set expression of 4 characters or two couplets of 4 characters each: expression often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:条[tiao2] ,本[ben3] ,句[ju4]	成语 chéng yǔ 
Chinese-style dress; cheongsam	旗袍 qí páo 
Chinese written language; Chinese writing; Chinese	中文 zhōng wén 
chocolate (loanword); CL:块[kuai4]	巧克力 qiǎo kè lì 
chopsticks; CL:对[dui4] ,根[gen1] ,把[ba3] ,双[shuang1]	筷子 kuài zi 
circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:个	圈 quān 
circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify	圆 yuán 
circumference;	方圆 fāng yuán 
circumstances; condition; term; factor; requirement; prerequisite; qualification; CL:个	条件 tiáo jiàn 
circumstances; situation; CL:个	情形 qíng xíng 
circumstances; situation; terrain (topography); CL:个	形势 xíng shì 
circumstances; state of affairs; situation; CL:个,种[zhong3]	情况 qíng kuàng 
citizen	公民 gōng mín 
city; town; CL:座[zuo4]	城市 chéng shì 
civilized; civilization; culture; CL:个	文明 wén míng 
classical	古典 gǔ diǎn 
classified as; to belong to; to be part of	属于 shǔ yú 
classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc	枚 méi 
classifier for flat objects, sheet; sheet of paper; classifier for votes; to open up; to spread;	张 zhāng 
classifier for horses, mules and tissue; ordinary person	匹 pǐ 
classifier for houses or buildings; ridgepole (old)	栋 dòng 
classifier for people or objects in general; individual; this; that; size	个 gè 
classifier for ships; Taiwan pr. sao1	艘 sōu 
classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc	颗 kē 
classifier for trees, cabbages, plants etc	棵 kē 
classifier for vehicles	辆 liàng 
classifier for years (of age); year; year (of crop harvests)	岁 suì 
classroom; CL:间[jian1]	教室 jiào shì 
clause (of contract or law); CL:项[xiang4]	条款 tiáo kuǎn 
clean; purity	清洁 qīng jié 
clear; distinct	清晰 qīng xī 
clear; fine (weather)	晴 qíng 
clear-headed; sober; awake	清醒 qīng xǐng 
clear; limpid	清澈 qīng chè 
clearly demarcated; sharply contoured	分明 fēn míng 
clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)	澄清 chéng qīng 
clear; to put in order; to check up	清理 qīng lǐ 
clever; quick-witted	机灵 jī ling 
clever; witty; intelligent	伶俐 líng lì 
client; customer; CL:位[wei4]	顾客 gù kè 
client; customer	客户 kè hù 
cliffside	悬崖峭壁 xuán yá qiào bì 
climate; atmosphere; situation; CL:种[zhong3]	气候 qì hòu 
clinical	临床 lín chuáng 
clip; clamp; tongs; folder; wallet	夹子 jiā zi 
clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926	派 pài 
close; familiar; intimate; closely (related); to foster close ties; to pay close attention	密切 mì qiè 
clothes; CL:件[jian4] ,套[tao4]	衣服 yī fu 
clothes	衣裳 yī shang 
clothing; dress; costume; clothes; CL:身[shen1]	服装 fú zhuāng 
cloth; to declare; to announce; to spread; to make known	布 bù 
cloth-wrapper; a bundle wrapped in cloth; load; weight; burden	包袱 bāo fu 
cloud; CL:朵[duo3]	云 yún 
clown; disgraceful; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February); year of the Ox	丑 chǒu 
club (i.e. a group or organization); CL:个	俱乐部 jù lè bù 
club	棍棒 gùn bàng 
clumsy; awkward; stupid	笨拙 bèn zhuō 
cluster; collection; collection of books; thicket	丛 cóng 
coal	煤炭 méi tàn 
coastal	沿海 yán hǎi 
code; secret code; password; pin number	密码 mì mǎ 
coffee; CL:杯[bei1]	咖啡 kā fēi 
coin; money; CL:笔[bi3]	钱 qián 
cold; indifferent	冷淡 lěng dàn 
cold	冷 lěng 
(coll.) all day long; all the time	成天 chéng tiān 
collapse	塌 tā 
colleague; co-worker; CL:个,位[wei4]	同事 tóng shì 
collective; social; team; CL:个	集体 jí tǐ 
(college, university) president; headmaster; CL:个,位[wei4] ,名[ming2]	校长 xiào zhǎng 
(coll.) mother's father; maternal grandfather;	外公 wài gōng 
(coll.) serve sb right; deservedly; ought; should	活该 huó gāi 
(coll.) wife;	老婆 lǎo pó 
colony	殖民地 zhí mín dì 
color; CL:个	颜色 yán sè 
comb; CL:把[ba3]	梳子 shū zi 
comfortable; feeling well	舒服 shū fu 
comic dialog; sketch; crosstalk;	相声 xiàng sheng 
commander; to command; to conduct; to direct; director; conductor (of an orchestra); CL:个	指挥 zhǐ huī 
commanding officer	司令 sī lìng 
commercial affairs; commercial; commerce; business;	商务 shāng wù 
(commercial) trade; CL:个	贸易 mào yì 
committee member; committee; council; CL:个	委员 wěi yuán 
common; everyday; average	通俗 tōng sú 
common; joint; jointly; together; collaborative	共同 gòng tóng 
commonplace; ordinary; mediocre	平凡 píng fán 
common saying; proverb	俗话 sú huà 
common sense; general knowledge; CL:门[men2]	常识 cháng shí 
common (use); interchangeable	通用 tōng yòng 
communicate	沟通 gōu tōng 
communications; a news story (e.g. dispatched over the wire); CL:个	通讯 tōng xùn 
communication; social intercourse	交际 jiāo jì 
communication; to get in touch with; to contact; connection (math.)	联络 lián luò 
community	社区 shè qū 
compact disc; CD or DVD; CD ROM; CL:片[pian4] ,张[zhang1]	光盘 guāng pán 
companionship; fellowship; friendship	友谊 yǒu yì 
company; firm; enterprise; corporation; CL:家[jia1]	企业 qǐ yè 
compare; contrast; fairly; comparatively; relatively; quite; rather	比较 bǐ jiào 
compartment; gap; interval; to divide	间隔 jiàn gé 
compassion; CL:片[pian4]	爱心 ài xīn 
compassion; relent; sympathize; sympathy	同情 tóng qíng 
compass	指南针 zhǐ nán zhēn 
compensate; make up	补偿 bǔ cháng 
competition (sports etc); match; CL:场[chang3] ,次[ci4]	比赛 bǐ sài 
complacent; self-satisfied	自满 zì mǎn 
complainant; plaintiff	原告 yuán gào 
complaint; to file a complaint; to sue	投诉 tóu sù 
complete; accomplish; perfect tense (grammar)	完成 wán chéng 
(completed action marker); (modal particle intensifying preceding clause)	了 le 
complete; whole; totally; entirely	完全 wán quán 
complete	齐全 qí quán 
complexion	气色 qì sè 
complicated; complex	复杂 fù zá 
complicated; winding	曲折 qū zhé 
complication; twists and turns; problem; setback	周折 zhōu zhé 
composition; make-up; ingredient; element; component; one's social status; CL:个	成分 chéng fèn 
computer; CL:台[tai2]	电脑 diàn nǎo 
(computer) software	软件 ruǎn jiàn 
comrade; homosexual (slang); CL:个	同志 tóng zhì 
concentrated; dense	浓 nóng 
concept; idea; CL:个	概念 gài niàn 
concise; brief	简要 jiǎn yào 
conclusion; ending	结局 jié jú 
conclusion; verdict; to conclude; to reach a verdict; CL:个	结论 jié lùn 
concrete; definite; specific	具体 jù tǐ 
condiment; seasoning; flavoring	调料 tiáo liào 
condition; situation; plight; extent; room for action	地步 dì bù 
condition; state; situation; CL:个	状况 zhuàng kuàng 
confidence; faith (in sb or sth); CL:个	信心 xìn xīn 
confidence; self-confidence	自信 zì xìn 
confident and at ease; free and easy;	潇洒 xiāo sǎ 
conflict; to conflict; clash of opposing forces; collision (of interests); contention	冲突 chōng tū 
Confucianism; Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC);	儒家 rú jiā 
confused; dizzy; giddy; faint; swoon; to lose consciousness; to pass out	晕 yūn 
confused; flustered	慌张 huāng zhāng 
confusion; chaos; disorder	混乱 hùn luàn 
congratulations; greetings;	恭喜 gōng xǐ 
connection; contact; relation; in touch with; to integrate; to link; to touch	联系 lián xì 
conquer; subdue; vanquish	征服 zhēng fú 
conscience	良心 liáng xīn 
conscientious; earnest; serious; to take seriously; to take to heart	认真 rèn zhēn 
conscious; aware; on one's own initiative; conscientious	自觉 zì jué 
consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)	觉悟 jué wù 
consciousness; awareness; consciously (i.e. deliberately); to be aware	意识 yì shí 
consequences; aftermath	后果 hòu guǒ 
consequently; as a result; thus	因此 yīn cǐ 
considerable	可观 kě guān 
considerably; rather; inclined to one side	颇 pō 
considerate (of other people's needs)	体贴 tǐ tiē 
consistent; constant; from start to finish; all along; persistent	一贯 yí guàn 
consort; mate; spouse	配偶 pèi ǒu 
constitution (of a country)	宪法 xiàn fǎ 
consulate	领事馆 lǐng shì guǎn 
consult	请教 qǐng jiào 
contemplate; contemplation; meditation; ponder	沉思 chén sī 
contempt; contemptuous; to despise; to scorn; scornful	轻视 qīng shì 
contemptible; despicable; base; mean	卑鄙 bēi bǐ 
content; substance; details; CL:个,项[xiang4]	内容 nèi róng 
contestant; athlete	选手 xuǎn shǒu 
continuous; in a row; serial; consecutive;	连续 lián xù 
continuously; in an endless stream (idiom)	络绎不绝 luò yì bù jué 
contradictory; contradiction; CL:个	矛盾 máo dùn 
contrast; ratio; CL:个	对比 duì bǐ 
contribution; meritorious service; credit	功劳 gōng láo 
control; to exercise control over; to contain	控制 kòng zhì 
controversy; dispute	争议 zhēng yì 
convenient; as convenient; ordinary; plain; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards	便 biàn 
convenient; easy; facilitate	便利 biàn lì 
conveniently; in passing; without much extra effort	顺便 shùn biàn 
conveniently; without extra trouble; while doing it; in passing	随手 suí shǒu 
convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet	方便 fāng biàn 
conventional	惯例 guàn lì 
(cooked) rice	米饭 mǐ fàn 
cooking; culinary arts	烹饪 pēng rèn 
copper (chemistry); see also 紅红铜[hong2 tong2]; CL:块[kuai4]	铜 tóng 
cordial; enthusiastic; passion; passionate; passionately	热情 rè qíng 
core; nucleus	核心 hé xīn 
corn; maize; CL:粒[li4]	玉米 yù mǐ 
correct; proper	正确 zhèng què 
corridor; aisle; hallway; colonnade; passageway; piazza; veranda	走廊 zǒu láng 
corrosion; to corrode (degrade chemically); to rot; corruption	腐蚀 fǔ shí 
corruption; corrupt; rotten	腐败 fǔ bài 
corruption	贪污 tān wū 
cotton	棉花 mián hua 
countermeasure for dealing with a situation	对策 duì cè 
counterpart; other person involved; opposite side; other side; receiving party	对方 duì fāng 
countless; numberless; innumerable	无数 wú shù 
country; nation; state; CL:个	国家 guó jiā 
county; PRC administrative division below prefecture 地地区[di4 qu4]; CL:个	县 xiàn 
courage; daring; boldness; resolution; drive	魄力 pò lì 
courage; valor; (to have) the nerve	勇气 yǒng qì 
course; class; CL:堂[tang2] ,節[jie2] ,门[men2]	课程 kè chéng 
course of events; process; CL:个	过程 guò chéng 
courtesy; manners	礼貌 lǐ mào 
court of law; court	法院 fǎ yuàn 
cover; sheath; to encase; a case ; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ)	套 tào 
coward	胆小鬼 dǎn xiǎo guǐ 
cow's milk; CL:瓶[ping2] ,杯[bei1]	牛奶 niú nǎi 
cozy; snug; comfortable	舒适 shū shì 
crack; gap between two objects; gap in time between two events	空隙 kòng xì 
craftmanship; workmanship; handicraft; trade	手艺 shǒu yì 
crafty; cunning; sly	狡猾 jiǎo huá 
crash; break up	粉碎 fěn suì 
crazy; frantic; madness; extreme popularity	疯狂 fēng kuáng 
credentials; certificate	证书 zhèng shū 
credit card	信用卡 xìn yòng kǎ 
creek; rivulet	溪 xī 
criminal; penal	刑事 xíng shì 
criminal	罪犯 zuì fàn 
crisis; CL:个	危机 wēi jī 
criticize; CL:个	批判 pī pàn 
crucial point; crux; CL:个; key; crucial; pivotal	关键 guān jiàn 
crude; coarse; rough	粗鲁 cū lǔ 
crude; gruff; rough; coarse;	粗糙 cū cāo 
cruel; ruthless; cruelty	残酷 cán kù 
crumbs; filings; worthwhile	屑 xiè 
crutches; crutch; walking stick	拐杖 guǎi zhàng 
crystallization; crystalline; crystal	结晶 jié jīng 
cube	立方 lì fāng 
cultural relic; historical relic; CL:件[jian4] ,个	文物 wén wù 
culture; civilization; cultural; CL:个,种[zhong3]	文化 wén huà 
cup; glass; CL:个[ge4] ,支[zhi1]	杯子 bēi zi 
curio; antique	古董 gǔ dǒng 
currency; monetary; money	货币 huò bì 
current situation	现状 xiàn zhuàng 
current; today's; modern; present; to be facing (us)	当前 dāng qián 
