ability; competence	才干 cái gàn 
to predict; prophecy	预言 yù yán 
to press; to squeeze; to extract juice, oil etc by squeezing	压榨 yā zhà 
to prevent; to guard against; to take precautions	防止 fáng zhǐ 
to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer)	扎 zhā 
to probe; to take readings; to explore; exploration	探测 tàn cè 
to process; processing; working (of machinery)	加工 jiā gōng 
to proclaim; to make public or well known	宣扬 xuān yáng 
to procure (for an enterprise etc); to purchase	采购 cǎi gòu 
to promise; to undertake to do something; commitment	承诺 chéng nuò 
to promote to a higher job; to select for promotion	提拔 tí bá 
to promote to a higher position	晋升 jìn shēng 
to prompt; to present; to point out; to draw attention to sth; hint; brief; cue	提示 tí shì 
to prop up; to support; strut; brace	支撑 zhī chēng 
to prove a point; proof; to expound on; demonstrate or prove (through argument)	论证 lùn zhèng 
to provide assistance; to support; to back	支援 zhī yuán 
to provoke; provocation	挑衅 tiǎo xìn 
to publish; to issue (stocks, currency etc); to release; to distribute (a film)	发行 fā xíng 
to pull (an animal on a tether); to lead along; to hold hands	牵 qiān 
to pull back; to shrink; to contract	收缩 shōu suō 
to punish; punishment; sanctions (incl. economic)	制裁 zhì cái 
to push aside; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch;	拨 bō 
to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory)	消灭 xiāo miè 
to put in order; to arrange; to decorate; to fix up; to deploy	布置 bù zhì 
to put one's hand to it; to start out on a task; to set out	着手 zhuó shǒu 
to put on make-up	化妆 huà zhuāng 
to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)	搭 dā 
to put up with; to tolerate	容忍 róng rěn 
to puzzle; to confuse; to baffle	迷惑 mí huo 
to quote; to cite; to recommend; to appoint	引用 yǐn yòng 
to radiate; radioactive	放射 fàng shè 
to raise aloft with both hands	扛 gāng 
to raise animals	畜牧 xù mù 
to raise; to rear	饲养 sì yǎng 
to raise	翘 qiào 
to ravage; to ruin	摧残 cuī cán 
to reach (an agreement); to accomplish	达成 dá chéng 
to recognize; to identify	辨认 biàn rèn 
to recycle; to reclaim; to retrieve; to recover	回收 huí shōu 
to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)	反射 fǎn shè 
to refuse politely	谢绝 xiè jué 
to register; to login	登录 dēng lù 
to rehearse; rehearsal;	排练 pái liàn 
to reject; to exclude; to eliminate; to remove; to repel	排斥 pái chì 
to release; to issue; to announce; to distribute; also written 發发布[fa1 bu4]	发布 fā bù 
to release; to set free; to liberate (a prisoner); to discharge	释放 shì fàng 
to rely on sth (for support etc); to depend on	依靠 yī kào 
to rely on; to depend on	依托 yī tuō 
to remain; left over; surplus; remnant	残留 cán liú 
to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement)	解除 jiě chú 
to rent; to lease; to hire	租赁 zū lìn 
to repay; to reimburse	偿还 cháng huán 
to repay; to requite	报答 bào dá 
to repeal; to revoke; to undo (computing)	撤销 chè xiāo 
to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate	更新 gēng xīn 
to reply (to an accusation)	答辩 dá biàn 
to report sth to the police; to sound an alarm	报警 bào jǐng 
to report; to give an account of; to collect information and report back	汇报 huì bào 
to report (to the authorities); to declare (to customs)	申报 shēn bào 
to reside; to dwell; to live in a place; resident in	居住 jū zhù 
to resist; resistance	抵抗 dǐ kàng 
to resist; to boycott; to refuse (to cooperate); to reject; resistance; refusal	抵制 dǐ zhì 
to resist; to rebel	反抗 fǎn kàng 
to resolve; to decompose; to break down	分解 fēn jiě 
to restore to the original state; reduction (chemistry)	还原 huán yuán 
to restrain; to control; restraint; self-control;	克制 kè zhì 
to restrict; condition	制约 zhì yuē 
to restrict; to limit to; to constrain; restriction; constraint	约束 yuē shù 
to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent	拘束 jū shù 
to retort; to refute	反驳 fǎn bó 
to retrieve; to redeem	挽回 wǎn huí 
to return sth; to revert	归还 guī huán 
to reveal; to display; to show; to exhibit sth	展示 zhǎn shì 
to revenge (oneself); to avenge	报仇 bào chóu 
to revere; high esteem	崇敬 chóng jìng 
to revere; to admire	瞻仰 zhān yǎng 
to reverse; to turn around (an undesirable situation)	扭转 niǔ zhuǎn 
to revive; rebirth	复兴 fù xīng 
to revive, to revitalize, to invigorate, to re-energize	振兴 zhèn xīng 
to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed	乘 chéng 
to rob; looting	抢劫 qiāng jié 
to roll up	卷 juǎn 
to rotate; to revolve; to spin; to whirl	旋转 xuán zhuǎn 
to rot; to become gangrenous	腐烂 fǔ làn 
to rub or roll between the hands or fingers; to twist	搓 cuō 
to ruin; to corrupt; to undermine	败坏 bài huài 
to rule (a country); to govern; rule; regime	统治 tǒng zhì 
to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make	奔驰 bēn chí 
to rust; to grow rusty; to corrode; oxidization	生锈 shēng xiù 
to sacrifice oneself; to lay down one's life; to do sth at the expense of; beast slaughtered for sacrifice; sacrifice; CL:个	牺牲 xī shēng 
to sail; to fly; to navigate	航行 háng xíng 
to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling	过瘾 guò yǐn 
to save; to remedy; to rescue	挽救 wǎn jiù 
to sb's face; in sb's presence	当面 dāng miàn 
to scold in a loud voice; to yawn	呵 hē 
to screen; to shield; to cover; protection; cover; CL:面[mian4]	掩护 yǎn hù 
to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive	封闭 fēng bì 
to seek; to strive for	谋求 móu qiú 
to seek truth from facts (idiom); to be practical and realistic	实事求是 shí shì qiú shì 
to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause	见义勇为 jiàn yì yǒng wéi 
to select the best	选拔 xuǎn bá 
to sell; to peddle; to traffic	贩卖 fàn mài 
to send back information; feedback	反馈 fǎn kuì 
to send (on a mission); to dispatch	派遣 pài qiǎn 
to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)	脱离 tuō lí 
to separate; to isolate	隔离 gé lí 
to serve as; to act as; to play the role of	充当 chōng dāng 
to serve; to act as a valet	伺候 cì hòu 
to set off;	衬托 chèn tuō 
to set out on a journey	启程 qǐ chéng 
to settle a bill; to close an account	结算 jié suàn 
to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled	和解 hé jiě 
to settle; to precipitate (solid sediment out of a solution)	沉淀 chén diàn 
to set up; to establish	树立 shù lì 
to set up; to establish	设立 shè lì 
to set up; to install	设置 shè zhì 
to sever; to break off	断绝 duàn jué 
to shake; to jolt; to bump	颠簸 diān bǒ 
to shake; to vibrate; to shock; to stun; shocking; stunning; fig. mind-blowing;	震撼 zhèn hàn 
to shelter from; to keep out	遮挡 zhē dǎng 
to shield; to harbor; to cover up	包庇 bāo bì 
to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine)	转移 zhuǎn yí 
to shift; to move	挪 nuó 
to shock; to astonish	震惊 zhèn jīng 
to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission	发射 fā shè 
to show an interest in; to get involved with	过问 guò wèn 
to show off; to flaunt;	炫耀 xuàn yào 
to show restraint; to repress (anger etc); to exercise patience	忍耐 rěn nài 
to shudder; to shiver; to shake; to tremble	颤抖 chàn dǒu 
to sigh or gasp in admiration; high praise	赞叹 zàn tàn 
to sigh; to heave a sigh	叹气 tàn qì 
to sign (an agreement)	签署 qiān shǔ 
to signify; to mean; to imply	意味着 yì wèi zhe 
to simplify; to reduce	精简 jīng jiǎn 
to sink into; to get caught up in; to land in (a predicament)	陷入 xiàn rù 
to size sb up; to take measure of; to suppose; to reckon	打量 dǎ liang 
to slaughter livestock; to govern or rule; to cheat customers; Imperial official in dynastic China	宰 zǎi 
to slight; to neglect	怠慢 dài màn 
to slip away; to escape in stealth; to skate	溜 liū 
to smuggle; to have an illicit affair	走私 zǒu sī 
to sneer	讥笑 jī xiào 
to sow seeds; sowing; seed	播种 bō zhòng 
to spare no effort (idiom); to do one's utmost	竭尽全力 jié jìn quán lì 
to speak frankly with assurance;	侃侃而谈 kǎn kǎn ér tán 
to speak in defense of; to argue in favor of; to defend; to plead	辩护 biàn hù 
to speculate (on financial markets); opportunistic; congenial; agreeable	投机 tóu jī 
to spend; to pay out; expense	支出 zhī chū 
to spiral; to circle; to go around; to hover; to orbit	盘旋 pán xuán 
to splash; to spill; rough and coarse; brutish	泼 pō 
to split up; to divide; to break up; fission	分裂 fēn liè 
to spoil things through excessive enthusiasm (idiom)	拔苗助长 bá miáo zhù zhǎng 
to spread out; vendor's stand;	摊 tān 
to spread; to extend; to pave; to lay	铺 pū 
to spread; to proliferate; to diffuse; spread; proliferation; diffusion	扩散 kuò sàn 
to spurn; to disdain;	唾弃 tuò qì 
to spur on; to urge on; to encourage sb (e.g. to make progress)	鞭策 biān cè 
to squander money; extravagant; prodigal; free and easy; agile	挥霍 huī huò 
to stand side by side; to be juxtaposed	并列 bìng liè 
to stand; to have a footing; to be established; to base oneself on	立足 lì zú 
to start; to launch; to unleash; to mobilize; to arouse	发动 fā dòng 
to station; to garrison (troops)	驻扎 zhù zhā 
to steal	盗窃 dào qiè 
to steep; to soak; to immerse	浸泡 jìn pào 
to step across; to stride over; to straddle; to span	跨 kuà 
to stir oneself up; to raise one's spirits; to inspire	振奋 zhèn fèn 
to stir; to agitate	搅拌 jiǎo bàn 
to stop burning; to go out (of fire); to die out; extinguished	熄灭 xī miè 
to stop; to close; to put a stop to sth; cut-off point; stopping point; deadline;	截止 jié zhǐ 
to stop; to obstruct	阻拦 zǔ lán 
to stop; to terminate (law)	终止 zhōng zhǐ 
to store up; reserves	储备 chǔ bèi 
to string together; to mix up; to conspire; to rove; bunch or cluster; string (computing); classifier for rows or strings	串 chuàn 
to struggle; struggling	挣扎 zhēng zhá 
to struggle; to wrestle	拼搏 pīn bó 
to study meticulously; to delve into	钻研 zuān yán 
to subdue; to check; to bring under control; (in former times) what one is allowed to wear depending on social status; uniform (army, party, school etc); livery (for company employees); CL:套[tao4]	制服 zhì fú 
to submerge; to drown; to flood; to drown out (also fig.)	淹没 yān mò 
to subsidize; subsidy; allowance	补贴 bǔ tiē 
to subsidize; to provide financial aid; subsidy	资助 zī zhù 
to such an extent as to; down to; up to	以致 yǐ zhì 
to suddenly realize; to suddenly see the light	恍然大悟 huǎng rán dà wù 
to suffer a calamity	遭殃 zāo yāng 
to suffer from; to endure; to tide over (a difficult period); to delay	挨 ái 
to suffer; to sustain (loss, misfortune)	遭受 zāo shòu 
to suggest; to initiate; proposal; initiative	倡议 chàng yì 
to sum up to; to total	共计 gòng jì 
to support; to assist; sponsor	赞助 zàn zhù 
to suppress; to inhibit; to stifle	压制 yā zhì 
to surge up violently (of ocean, river, lake etc); turbulent;	汹涌 xiōng yǒng 
to surpass; to exceed; to transcend	超越 chāo yuè 
to surrender; surrender	投降 tóu xiáng 
to surrender; to yield	屈服 qū fú 
to surround; to encircle; to hem in	包围 bāo wéi 
to survey; to measure; to gauge; to determine	测量 cè liáng 
to suspend; to hang; suspension (cable car)	悬挂 xuán guà 
to suspend; to hang up; to hang a person	吊 diào 
to sway; to shake; to wander about;	晃 huǎng 
to swear an oath (of office); to make a vow	宣誓 xuān shì 
to take a bath; to bathe; to immerse	沐浴 mù yù 
to take care of oneself	保重 bǎo zhòng 
to take care; to be careful	留神 liú shén 
to take care; to keep an eye on; to look after; to tell; to remind	关照 guān zhào 
to take effect; to go into effect	生效 shēng xiào 
to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance	保养 bǎo yǎng 
to take leave	告辞 gào cí 
to take part in an election; to run for office	竞选 jìng xuǎn 
to take precautions; to guard against (emergency)	戒备 jiè bèi 
to take turns; order in series; time; a kind of; barbarians	番 fān 
totally	统统 tǒng tǒng 
to tap; knock	磕 kē 
to taste a small amount; to sample	品尝 pǐn cháng 
to tell lies	撒谎 sā huǎng 
to tell; to exhort; injunction	嘱咐 zhǔ fù 
to tell; to instruct; to command	吩咐 fēn fù 
to test; to put to the test	考验 kǎo yàn 
to think back over sth; to review; to revisit; to rethink; reflection; reassessment	反思 fǎn sī 
to think over; to ponder	琢磨 zhuó mó 
to think up every possible method (idiom); to devise ways and means; to try this, that and the other	想方设法 xiǎng fāng shè fǎ 
to thirst for; to long for	渴望 kě wàng 
to threaten; to menace	恐吓 kǒng hè 
to throw sth a long distance; to hurl	投掷 tóu zhì 
to throw; to cast; left-slanting downward brush stroke (calligraphy);	撇 piē 
to thwart; to obstruct (sth)	阻挠 zǔ náo 
to tidy up; to reorganize; to consolidate; to rectify	整顿 zhěng dùn 
to tire; tired	疲倦 pí juàn 
to toss from side to side (e.g. sleeplessly); to repeat sth over and over again; to torment sb; to play crazy	折腾 zhē teng 
to tour; sightseeing; tourism	观光 guān guāng 
to train; to breed	培育 péi yù 
to train; to educate; to bring up; to nurture; education; culture; upbringing; early conditioning	教养 jiào yǎng 
to trample	践踏 jiàn tà 
to transfer; to maneuver (troops etc)	调动 diào dòng 
to tread on; to step on	蹬 dēng 
to treat sb unfairly	亏待 kuī dài 
to tremble; to shiver; uncontrolled shaking of the body	哆嗦 duō suo 
to trust; to have confidence in; to have faith in; to rely on	信赖 xìn lài 
to try; to attempt; CL:次[ci4]	尝试 cháng shì 
to turn upside-down; to reverse; back-to-front; confused; deranged; crazy	颠倒 diān dǎo 
tough and durable; tenacious	坚韧 jiān rèn 
to understand; to comprehend; to grasp	领会 lǐng huì 
to understand; to comprehend	领悟 lǐng wù 
to undertake; to accept a contract	承办 chéng bàn 
to urge sb to complete a task	督促 dū cù 
to use fully; to put to use	施展 shī zhǎn 
to use other people's experience; to borrow from a source; to use as reference	借鉴 jiè jiàn 
to use up; to consume	消耗 xiāo hào 
to violate; to be contrary to	违背 wéi bèi 
to visit; to call on; to interview; CL:次[ci4]	访问 fǎng wèn 
to visit	探望 tàn wàng 
to vomit	呕吐 ǒu tù 
to vote; vote	投票 tóu piào 
to vow; to pledge; to swear	发誓 fā shì 
to wake up; to regain consciousness	苏醒 sū xǐng 
to warn repeatedly; to urge; to exhort again and again	叮嘱 dīng zhǔ 
to warn; to admonish	告诫 gào jiè 
to warn; to admonish	警告 jǐng gào 
to wash out; elimination (by selection); natural selection; to knock out (in a competition); to die out; to phase out	淘汰 táo tài 
to waste; to spend; to consume; to squander	耗费 hào fèi 
to waste; to wreck; to despoil; to abuse; to slander; to insult; to defile; to trample on	糟蹋 zāo tà 
to watch attentively; to fix attention on; to stare; to gaze; to follow; to shadow sb	盯 dīng 
to watch attentively; to gaze	注视 zhù shì 
to waver; swaying (of building in an earthquake)	摇摆 yáo bǎi 
to weaken	削弱 xuē ruò 
to weave; to knit; to plait; to braid; (fig.) to create (sth abstract, e.g. a dream, a lie etc);	编织 biān zhī 
to weep;	哭泣 kū qì 
to weigh; to consider; to assess; to balance; to trade-off	权衡 quán héng 
to whistle; to scream; to whiz	呼啸 hū xiào 
to wilt; to wither; wilted; withered; drained; enervated; exhausted;	枯萎 kū wěi 
to withdraw; to pull out; to retreat	撤退 chè tuì 
to withstand; to resist; to stand off; antagonism; confrontation	对抗 duì kàng 
to witness; to see at first hand; to see with one's own eyes	目睹 mù dǔ 
to wolf down one's food (idiom); to devour ravenously; to gorge oneself;	狼吞虎咽 láng tūn hǔ yàn 
to work a shift; on duty	值班 zhí bān 
to work for; to devote one's efforts to;	致力 zhì lì 
to work hard for sth; to resolve on improvement; determined not to fall short	争气 zhēng qì 
to work hard for; to do all one can; to contend strongly	力争 lì zhēng 
to work hard; to look after	操劳 cāo láo 
to work; to operate; to manipulate	操作 cāo zuò 
to work with a common purpose (idiom); to make concerted efforts; to pull together; to work as one	齐心协力 qí xīn xié lì 
to worship; adoration	崇拜 chóng bài 
to wrap; to pack; to ask for a doggy bag (at a restaurant)	打包 dǎ bāo 
to wrestle; to fight; to struggle	搏斗 bó dòu 
to write; literary work; book; article; writings; CL:部[bu4]	著作 zhù zuò 
to yearn for; to look forward to	向往 xiàng wǎng 
to yield; to adapt to; to accommodate to (sth)	迁就 qiān jiù 
toy; plaything; thing; act; trick (in a performance, stage show, acrobatics etc)	玩意儿 wán yì r 
track and field (athletics)	田径 tián jìng 
tracks; trail; footprint; trace; vestige	踪迹 zōng jì 
trademark; logo	商标 shāng biāo 
traditional Chinese character	繁体字 fán tǐ zì 
trail; clues; thread (of a story)	线索 xiàn suǒ 
transfer (technology, goods etc); conveyancing (property)	转让 zhuǎn ràng 
trap; snare; trick	圈套 quān tào 
treaty; pact; CL:个	条约 tiáo yuē 
tree trunk; stump (tree root); a plant; classifier for trees or plants; to involve others (in shady business)	株 zhū 
trend; tendency; orientation	倾向 qīng xiàng 
tributary (river)	支流 zhī liú 
troop arrangement; battle formation; line-up (of a sports team etc)	阵容 zhèn róng 
truth; CL:个	真理 zhēn lǐ 
tumor	肿瘤 zhǒng liú 
tunnel	隧道 suì dào 
turbid; muddy; dirty	混浊 hùn zhuó 
turnover (in cash or personnel); to have enough resources to cover a need	周转 zhōu zhuǎn 
twin; CL:对[dui4]	双胞胎 shuāng bāo tāi 
twisting; to twine; to wind; to pester; to bother	缠绕 chán rào 
ugly; repulsive	丑恶 chǒu è 
unavoidable; a bit too much; over the top (you exaggerate)	未免 wèi miǎn 
unavoidable	不免 bù miǎn 
unceasing torrent (idiom); talking non-stop; gabbling forty to the dozen	滔滔不绝 tāo tāo bù jué 
understood by everyone (idiom); well known; a household name	家喻户晓 jiā yù hù xiǎo 
undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation; CL:个	事业 shì yè 
unexpectedly; to one's surprise	不料 bú liào 
unfamiliar; strange; out of practice; not accustomed	生疏 shēng shū 
unfathomable mystery (idiom); subtle and ineffable; unable to make head or tail of it; boring (e.g. movie)	莫名其妙 mò míng qí miào 
unimpeded; free-flowing; straight path; unclogged; move without obstruction	畅通 chàng tōng 
universe; cosmos	宇宙 yǔ zhòu 
unprecedented and never to be duplicated; the first and the last; unmatched; unique	空前绝后 kōng qián jué hòu 
unreasonable; shocking; outrageous	不像话 bú xiàng huà 
unrest (social or political); turmoil; upheaval; commotion	动荡 dòng dàng 
unusual; abnormal	反常 fǎn cháng 
unusual; unique	别致 bié zhì 
upper reaches; advanced position	上游 shàng yóu 
upright; regular; proper; correct	端正 duān zhèng 
upsurge; (tensions etc) run high	高涨 gāo zhǎng 
up to (a time); by (a time)	截至 jié zhì 
user; consumer; subscriber; customer	用户 yòng hù 
vague; ambiguous; equivocal; dubious	暧昧 ài mèi 
vague; faint; indistinct	隐约 yǐn yuē 
vanity	虚荣 xū róng 
vast and limitless (idiom); endless span of time; no vestige of a beginning, no prospect of an end	无穷无尽 wú qióng wú jìn 
vast; extensive	辽阔 liáo kuò 
vegetarian food; vegetables	素食 sù shí 
vehement; fervent; generous; giving; liberal	慷慨 kāng kǎi 
version; edition; release	版本 bǎn běn 
very long; endless	漫长 màn cháng 
very much; extremely; one ten thousandth part	万分 wàn fēn 
vestige; mark; trace	痕迹 hén jì 
veto; to overrule; to veto; to reject	否决 fǒu jué 
victory or defeat; the outcome of a battle	胜负 shèng fù 
video	视频 shì pín 
villa; CL:幢[zhuang4] ,座[zuo4]	别墅 bié shù 
village; township	乡镇 xiāng zhèn 
violence; (use) force; violent	暴力 bào lì 
violent; acute; severe; fierce	剧烈 jù liè 
vision; eyesight	视力 shì lì 
vision	眼光 yǎn guāng 
vitamin	维生素 wéi shēng sù 
volume; bulk; CL:个	体积 tǐ jī 
waiting	等候 děng hòu 
wantonly; without restraint (of enemy or malefactor); unbridled	大肆 dà sì 
warn; well; surname Jing; CL:口[kou3]	井 jǐng 
warp and woof; longitude and latitude; main points	经纬 jīng wěi 
warship; naval vessel	舰艇 jiàn tǐng 
water conservancy; irrigation works	水利 shuǐ lì 
waterfall	瀑布 pù bù 
wave; flutter; fly	飘扬 piāo yáng 
wave	波浪 bō làng 
way; channel	途径 tú jìng 
way of life; ecology	生态 shēng tài 
weak; frail	脆弱 cuì ruò 
weak; frail	薄弱 bó ruò 
weak point; failing	弱点 ruò diǎn 
wealth; riches	财富 cái fù 
weapon; arms; CL:种[zhong3]	武器 wǔ qì 
weight; measure	分量 fèn liàng 
what one sees and hears; knowledge; information	见闻 jiàn wén 
white; light pink; erotic; beautiful woman; powdered (with make-up)	粉色 fěn sè 
wholesale; bulk trade; distribution	批发 pī fā 
wide; open (spaces); to open up	开阔 kāi kuò 
wide open; to open up	敞开 chǎng kāi 
wide-ranging and profound; broad and deep	博大精深 bó dà jīng shēn 
wide; vast	广阔 guǎng kuò 
width; extent; range; scope	幅度 fú dù 
wife's mother, mother-in-law;	岳母 yuè mǔ 
willful; headstrong; uninhibited	任性 rèn xìng 
will; willpower; determination; CL:个	意志 yì zhì 
wing	翼 yì 
wink	眨 zhǎ 
wise; brilliant; superior	高明 gāo míng 
wise; brilliant	英明 yīng míng 
wishing one could do sth; to hate to be unable; itching to do sth; can't wait for; to wish one could do sth; to desire strongly	恨不得 hèn bu dé 
with keen interest pleasure (idiom); with gusto; to relish; eagerly; with great interest	津津有味 jīn jīn yǒu wèi 
without any sense of shame; unembarrassed; shameless	无耻 wú chǐ 
without permission; of one's own initiative	擅自 shàn zì 
with utmost care; fine; meticulous; detailed	精心 jīng xīn 
work and rest	作息 zuò xī 
worsen	恶化 è huà 
worthwhile; be a good deal; be a bargain; reckon up; calculate	合算 hé suàn 
would rather; better	宁愿 nìng yuàn 
would rather...; it would be better...; would prefer	宁肯 nìng kěn 
Wow!; sound of child's crying	哇 wa 
wrinkle; CL:道[dao4]	皱纹 zhòu wén 
write down; record; written account	记载 jì zǎi 
Xinglong county in Chengde 承德[Cheng2 de2] , Hebei	兴隆 xīng lóng 
year after year; with each passing year; over the years	逐年 zhú nián 
year (e.g. school year, fiscal year)	年度 nián dù 
years; passing of time	岁月 suì yuè 
you might as well (do it); simply; just	索性 suǒ xìng 
young; childish; naive	幼稚 yòu zhì 
